ISBN	Title	Class	AccessionNo
9786214780969	Marketing management	FIL HF 5415 M34 2024 c.3	FIL-9384
9786210450361	Marketing research	FIL HF 5415.2 A24 2024 c.1	FIL-9385
9786210450361	Marketing research	FIL HF 5415.2 A24 2024 c.2	FIL-9386
9786210450361	Marketing research	FIL HF 5415.2 A24 2024 c.3	FIL-9387
9786214272358	Naviagting human behavior in organizations: insights and strategies for effective leadership	FIL HD 58.7 S47 2025 c.1	FIL-9388
9786214272358	Naviagting human behavior in organizations: insights and strategies for effective leadership	FIL HD 58.7 S47 2025 c.2	FIL-9389
9786214272358	Naviagting human behavior in organizations: insights and strategies for effective leadership	FIL HD 58.7 S47 2025 c.3	FIL-9390
9786214271825	Advances human resource management (HRM)	FIL HF 5549 A23 2024 c.1	FIL-9391
9786214271481	Understanding marketing research	FIL HF 5415.2 M88 2024 c.1	FIL-9392
9786214271481	Understanding marketing research	FIL HF 5415.2 M88 2024 c.2	FIL-9393
9786214271481	Understanding marketing research	FIL HF 5415.2 M88 2024 c.3	FIL-9394
9786214272396	Navigating business research from data to decision	FIL HD 30.4 S47 2025 c.1	FIL-9395
9786214272396	Navigating business research from data to decision	FIL HD 30.4 S47 2025 c.2	FIL-9396
9786214272396	Navigating business research from data to decision	FIL HD 30.4 S47 2025 c.3	FIL-9397
9786214093021	Micro perspectives of tourism and hospitality 2nd edition	FIL G 155 D57 2025 c.1	FIL-9398
9786214093021	Micro perspectives of tourism and hospitality 2nd edition	FIL G 155 D57 2025 c.2	FIL-9399
9786214093021	Micro perspectives of tourism and hospitality 2nd edition	FIL G 155 D57 2025 c.3	FIL-9400
9786214880058	Comparative models in policing second editon	FIL HV 7936 C37 2024 c.1	FIL-9401
9786214880058	Comparative models in policing second editon	FIL HV 7936 C37 2024 c.2	FIL-9402
9786214880058	Comparative models in policing second editon	FIL HV 7936 C37 2024 c.3	FIL-9403
9786214880034	Forensic photography	FIL HV 8073 B85 2024 c.1	FIL-9404
9786214880034	Forensic photography	FIL HV 8073 B85 2024 c.2	FIL-9405
9786214880034	Forensic photography	FIL HV 8073 B85 2024 c.3	FIL-9406
