"isbn","call_number"
"9781835353004","HV 8076 S56 2025"
"9786210450361","HF 5415.2 A24 2024"
"9786214093021","G 155 D57 2025"
"9786214161072","HG 4026 C33 2021"
"9786214161157","KPM 1250 S67 2021"
"9786214161249","KPM 1280 S67 2022"
"9786214271481","HF 5415.2 M88 2024"
"9786214271825","HF 5549 A23 2024"
"9786214272358","HD 58.7 S47 2025"
"9786214272396","HD 30.4 S47 2025"
"9786214780969","HF 5415 M34 2024"
"9786214781423","G 155.5 Y46 2025"
"9786214781553","HF 5549.5 Y48 2025"
"9786214782000","G 155 V59 2026"
"9786214880003","HV 6025 S25 2024"
"9786214880010","HE 5621 A64 2024"
"9786214880027","BJ 1533 L58 2024"
"9786214880034","HV 8073 B85 2024"
"9786214880058","HV 7936 C37 2024"
"9786214880065","HV 6773 D48 2024"
"9786214880072","KF 8975 G33 2024"
"9786214880133","HV 9466 C43 2024"
"9786214880140","HV 6773 L34 2024"
"9786214880157","TH 9145 B63 2024"
"9786214880164","HV 9101 D48 2024"
"9786214880232","HV 5805 C44 2024"
"9786214880300","HV 8075 D48 2025"
"9786214880317","HV 8077 S25 2025"
"9786214880324","HV 8077 A74 2025"
"9786214880331","HV 8077 L33 2025"
"9788119920334","HQ 1236 S56 2024"
"9789362243720","HV 8073 Y33 2025"
"9789362247193","HV 8075 H33 2025"
"9789719655077","HF 5387 B84 2022"
"9789719655374","TX 911.3 B84 2023"
"9789719655657","GV 181.3 C67 2023"
